,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,0.3835014820098877,0.006402269629637666,0.0028296470642089843,0.0004974491892632649,friedman_mse,0.1,absolute_error,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'absolute_error', 'n_estimators': 5}",0.004211481757995461,-0.0023393780556737465,-0.0012607017948045307,-0.001986644921023295,0.0004919254700879172,-0.00017666350868363878,0.002401305313139776,67
16,0.7848494529724122,0.021346620071088243,0.0035898685455322266,0.00048793712145736064,friedman_mse,0.1,absolute_error,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'absolute_error', 'n_estimators': 10}",0.02755255093766329,0.017396903118759632,0.015634592279889614,0.014032448733892644,0.020776043953084633,0.019078507804657963,0.004792537878875422,57
17,1.150087594985962,0.03339000141040313,0.004793310165405273,0.0006737681474514521,friedman_mse,0.1,absolute_error,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'absolute_error', 'n_estimators': 15}",0.043626245887006254,0.031898939288518946,0.028026242079476016,0.033790873171077984,0.037450146892979985,0.03495848946381184,0.005293743232080303,47
18,0.4106997013092041,0.011920285886204172,0.0029975414276123048,0.0003154937699621494,friedman_mse,0.1,huber,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 5}",0.022782398934636516,0.014144309165375457,0.016296562656616498,0.014880383445821432,0.027168014882039015,0.019054333816897785,0.005076727203625899,59
19,0.7984822750091553,0.026971584400937887,0.0033179759979248048,0.00039852509830555396,friedman_mse,0.1,huber,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 10}",0.05271935950499684,0.03854370058162304,0.039479954901601055,0.040484366855165654,0.048614355820088995,0.043968347532695115,0.005654665115847877,45
20,1.2221364021301269,0.0340275689250929,0.0047343730926513675,0.0005270852044209627,friedman_mse,0.1,huber,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'huber', 'n_estimators': 15}",0.12879971652741495,0.07263575474218764,0.05542256872794438,0.09706571026400435,0.11113445565024027,0.09301164118235832,0.026282211982500223,39
21,0.3774253368377686,0.018138369337418508,0.002593803405761719,0.0004896303255887713,friedman_mse,0.1,quantile,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 5}",0.599469292509891,0.599131411763479,0.5799071870652778,0.548995526347299,0.5644901648632796,0.5783987165098452,0.019667662339537952,32
22,0.7361524105072021,0.010270788795174202,0.0030106544494628907,0.00034064161933769526,friedman_mse,0.1,quantile,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 10}",0.8304821877656055,0.8453566117693228,0.8300032608726097,0.8063989760048593,0.8097632422723926,0.8244008557369579,0.014462646059843907,14
23,1.1000446319580077,0.024493225043571577,0.003920555114746094,0.0004170723744022542,friedman_mse,0.1,quantile,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'n_estimators': 15}",0.8879115462275354,0.903878705105045,0.9051163012231852,0.8849186043553531,0.8805359729760428,0.8924722259774323,0.010102589173204729,6
24,0.33435912132263185,0.012711830474451371,0.0022099494934082033,0.0005144815155656486,friedman_mse,0.15,squared_error,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'squared_error', 'n_estimators': 5}",0.7678720352510898,0.729249026978825,0.7271465963607051,0.7327358269129478,0.7325169443255624,0.7379040859658261,0.015129070095196304,19
25,0.6487130165100098,0.010620126438205351,0.002919769287109375,0.0005893868649381418,friedman_mse,0.15,squared_error,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'squared_error', 'n_estimators': 10}",0.9018495897904766,0.8787663095454538,0.8899189009861466,0.8831627164142962,0.88872042651972,0.8884835886512187,0.007791064044280262,7
26,0.9948199272155762,0.019810392517587,0.004096603393554688,0.001242193686549592,friedman_mse,0.15,squared_error,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'squared_error', 'n_estimators': 15}",0.9261007688204529,0.9194937758813496,0.9266357455676111,0.9168764958779634,0.9306489818597214,0.9239511536014197,0.005032052881995202,1
27,0.3794304847717285,0.006656792878524938,0.002693367004394531,0.0006005566738745958,friedman_mse,0.15,absolute_error,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'absolute_error', 'n_estimators': 5}",0.01066511986794183,0.010101548107455227,0.004447985885399519,0.001281684827195928,0.007416190784860999,0.006782505894570701,0.0035270754203958594,63
28,0.7673415660858154,0.025365063437874914,0.003891658782958984,0.00019452696790596812,friedman_mse,0.15,absolute_error,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'absolute_error', 'n_estimators': 10}",0.042500744044911665,0.028073753899763743,0.026772123816957927,0.03166011748757669,0.0360432223916356,0.033009992328169126,0.005733663196199425,51
29,1.1397625923156738,0.021959879996644196,0.004209041595458984,0.0006861268011524549,friedman_mse,0.15,absolute_error,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'absolute_error', 'n_estimators': 15}",0.15036442816657325,0.0972305892159252,0.04676651496078377,0.05629680714956753,0.06020548099790313,0.08217276409815058,0.03816430347454731,43
30,0.40505237579345704,0.01934142738921594,0.0063876152038574215,0.007302300903226074,friedman_mse,0.15,huber,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'huber', 'n_estimators': 5}",0.03625377628083404,0.03401192564932065,0.03183550833983628,0.035485904744674945,0.036595143813602404,0.03483645176565366,0.0017440814450180241,49
31,0.8053154945373535,0.018760994440127694,0.003698110580444336,0.00025547006334202265,friedman_mse,0.15,huber,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'huber', 'n_estimators': 10}",0.08964869095346728,0.07288838524874741,0.05933006794667672,0.10067895017898831,0.12498389884379024,0.08950599863433399,0.022672752272665932,41
32,1.2044861316680908,0.01960736024560391,0.0044864177703857425,0.00046658301754997424,friedman_mse,0.15,huber,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'huber', 'n_estimators': 15}",0.7456604221256248,0.4922284594609967,0.49415312175971404,0.441635680689647,0.45027679461544345,0.5247908957302851,0.11247175129175552,33
33,0.37642560005187986,0.009749578689609805,0.0028063774108886717,0.0004066452467839512,friedman_mse,0.15,quantile,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'quantile', 'n_estimators': 5}",0.7615660566739334,0.7460815834721712,0.7282885143752627,0.702454644395307,0.6816912480020212,0.7240164093837391,0.028884001785189857,21
34,0.739919376373291,0.014659489077936117,0.0041943550109863285,0.0017497163523724775,friedman_mse,0.15,quantile,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'quantile', 'n_estimators': 10}",0.8919554259066277,0.8939652608397155,0.9013476844533789,0.8664813461167802,0.8510509759289558,0.8809601386490916,0.019025640682005854,12
35,1.119546127319336,0.026691893209605015,0.003993320465087891,0.0003165265888077747,friedman_mse,0.15,quantile,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'loss': 'quantile', 'n_estimators': 15}",0.8806974447473725,0.9166939633897457,0.9305285996838127,0.8864396781875148,0.8696958258709689,0.896811102375883,0.02295496638467893,4
36,0.32624402046203616,0.006942605791671142,0.0021983623504638673,0.000246335875829131,squared_error,0.05,squared_error,5,"{'criterion': 'squared_error', 'learning_rate': 0.05, 'loss': 'squared_error', 'n_estimators': 5}",0.38660079048440155,0.3630187738240067,0.35591392956230483,0.36506048045382133,0.36170713790691944,0.3664602224462908,0.010519139065496718,35
37,0.6551597118377686,0.014151391801758518,0.0027176856994628905,0.0006144260292503047,squared_error,0.05,squared_error,10,"{'criterion': 'squared_error', 'learning_rate': 0.05, 'loss': 'squared_error', 'n_estimators': 10}",0.6175775246440911,0.5825596810625412,0.575187188899204,0.5851493863166767,0.5833013540794665,0.588755027000396,0.014805053904118244,30
38,0.9926281452178956,0.027126259086636843,0.0033120632171630858,0.0004124918525957105,squared_error,0.05,squared_error,15,"{'criterion': 'squared_error', 'learning_rate': 0.05, 'loss': 'squared_error', 'n_estimators': 15}",0.751374267579807,0.7130548394850686,0.7116252775225052,0.7164329611690012,0.7150787199253315,0.7215132131363426,0.015021382033206717,24
39,0.38938331604003906,0.020237897812060614,0.0027083396911621095,0.0003926414696279194,squared_error,0.05,absolute_error,5,"{'criterion': 'squared_error', 'learning_rate': 0.05, 'loss': 'absolute_error', 'n_estimators': 5}",-0.006193589110307762,-0.009681352688157174,-0.007902727474726534,-0.009371092892863198,-0.006297966944204925,-0.007889345822051919,0.0014707222454928327,71
40,0.7566453456878662,0.011726185932429639,0.004018974304199219,0.0011369299909384713,squared_error,0.05,absolute_error,10,"{'criterion': 'squared_error', 'learning_rate': 0.05, 'loss': 'absolute_error', 'n_estimators': 10}",0.0042782934555164465,-0.0030935325797256663,-0.001938737136818025,-0.0011514929691633924,0.0006732265256824688,-0.00024644854090163373,0.002573244100172731,69
41,1.1474905967712403,0.034869338691780584,0.004803657531738281,0.0008184359696166134,squared_error,0.05,absolute_error,15,"{'criterion': 'squared_error', 'learning_rate': 0.05, 'loss': 'absolute_error', 'n_estimators': 15}",0.014458713210169227,0.0057734640682864935,0.006605842320265509,0.00609721210988412,0.010881562686971935,0.008763358879115456,0.003394894272418126,61
42,0.40065455436706543,0.015204201395377996,0.002894306182861328,0.00019785619972011756,squared_error,0.05,huber,5,"{'criterion': 'squared_error', 'learning_rate': 0.05, 'loss': 'huber', 'n_estimators': 5}",0.005287468649368576,-5.738609579042375e-05,0.00026718045825968595,0.0003840348178107966,0.004383158093877126,0.0020528911847051525,0.0022943299595015705,65
